date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1538673528.600000,0.003071,0.003071,0.000000,0.000000,0.000000,0.002846,0.002846,0.000000,0.000000,0.000000
1538673528.650000,0.002292,0.002292,0.000000,0.000000,0.000000,0.002500,0.002500,0.000000,0.000000,0.000000
1538673528.700000,0.002545,0.002545,0.000000,0.000000,0.000000,0.002576,0.002576,0.000000,0.000000,0.000000
1538673528.750000,0.001619,0.001619,0.000000,0.000000,0.000000,0.001636,0.001636,0.000000,0.000000,0.000000
1538673528.800000,0.001800,0.001800,0.000000,0.000000,0.000000,0.001812,0.001812,0.000000,0.000000,0.000000
1538673528.850000,0.001462,0.001462,0.000000,0.000000,0.000000,0.001462,0.001462,0.000000,0.000000,0.000000
1538673528.900000,0.001357,0.001357,0.000000,0.000000,0.000000,0.001308,0.001308,0.000000,0.000000,0.000000
1538673528.950000,0.001480,0.001480,0.000000,0.000000,0.000000,0.001480,0.001480,0.000000,0.000000,0.000000
1538673529.000000,0.004481,0.004481,0.000000,0.000000,0.000000,0.002783,0.002783,0.000000,0.000000,0.000000
1538673529.050000,0.004519,0.004519,0.000000,0.000000,0.000000,0.005656,0.005656,0.000000,0.000000,0.000000
1538673529.100000,0.001833,0.001833,0.000000,0.000000,0.000000,0.001833,0.001833,0.000000,0.000000,0.000000
1538673529.150000,0.001818,0.001818,0.000000,0.000000,0.000000,0.001762,0.001762,0.000000,0.000000,0.000000
1538673529.200000,0.002694,0.002694,0.000000,0.000000,0.000000,0.002529,0.002529,0.000000,0.000000,0.000000
1538673529.250000,0.001333,0.001333,0.000000,0.000000,0.000000,0.002167,0.002167,0.000000,0.000000,0.000000
1538673529.300000,0.001375,0.001375,0.000000,0.000000,0.000000,0.001375,0.001375,0.000000,0.000000,0.000000
1538673529.350000,0.001294,0.001294,0.000000,0.000000,0.000000,0.001294,0.001294,0.000000,0.000000,0.000000
1538673529.400000,0.001769,0.001769,0.000000,0.000000,0.000000,0.001833,0.001833,0.000000,0.000000,0.000000
1538673529.450000,0.001250,0.001250,0.000000,0.000000,0.000000,0.001231,0.001231,0.000000,0.000000,0.000000
1538673529.500000,0.001529,0.001529,0.000000,0.000000,0.000000,0.001529,0.001529,0.000000,0.000000,0.000000
1538673529.550000,0.001667,0.001667,0.000000,0.000000,0.000000,0.001667,0.001667,0.000000,0.000000,0.000000
1538673529.600000,0.001955,0.001955,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673529.650000,0.002158,0.002158,0.000000,0.000000,0.000000,0.002100,0.002100,0.000000,0.000000,0.000000
1538673529.700000,0.002429,0.002429,0.000000,0.000000,0.000000,0.002480,0.002480,0.000000,0.000000,0.000000
1538673529.750000,0.001719,0.001719,0.000000,0.000000,0.000000,0.001735,0.001735,0.000000,0.000000,0.000000
1538673529.800000,0.001462,0.001462,0.000000,0.000000,0.000000,0.001500,0.001500,0.000000,0.000000,0.000000
1538673529.850000,0.001100,0.001100,0.000000,0.000000,0.000000,0.001111,0.001111,0.000000,0.000000,0.000000
1538673529.900000,0.001619,0.001619,0.000000,0.000000,0.000000,0.001571,0.001571,0.000000,0.000000,0.000000
1538673529.950000,0.002000,0.002000,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673530.000000,0.001615,0.001615,0.000000,0.000000,0.000000,0.001643,0.001643,0.000000,0.000000,0.000000
1538673530.050000,0.002053,0.002053,0.000000,0.000000,0.000000,0.001944,0.001944,0.000000,0.000000,0.000000
1538673530.100000,0.001909,0.001909,0.000000,0.000000,0.000000,0.002083,0.002083,0.000000,0.000000,0.000000
1538673530.150000,0.001800,0.001800,0.000000,0.000000,0.000000,0.001800,0.001800,0.000000,0.000000,0.000000
1538673530.200000,0.001609,0.001609,0.000000,0.000000,0.000000,0.001636,0.001636,0.000000,0.000000,0.000000
1538673530.250000,0.002103,0.002103,0.000000,0.000000,0.000000,0.002075,0.002075,0.000000,0.000000,0.000000
1538673530.300000,0.002875,0.002875,0.000000,0.000000,0.000000,0.002839,0.002839,0.000000,0.000000,0.000000
1538673530.350000,0.004963,0.004963,0.000000,0.000000,0.000000,0.004308,0.004308,0.000000,0.000000,0.000000
1538673530.400000,0.002811,0.002811,0.000000,0.000000,0.000000,0.003368,0.003368,0.000000,0.000000,0.000000
1538673530.450000,0.001238,0.001238,0.000000,0.000000,0.000000,0.001286,0.001286,0.000000,0.000000,0.000000
1538673530.500000,0.001857,0.001857,0.000000,0.000000,0.000000,0.001800,0.001800,0.000000,0.000000,0.000000
1538673530.550000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673530.600000,0.001259,0.001259,0.000000,0.000000,0.000000,0.001259,0.001259,0.000000,0.000000,0.000000
1538673530.650000,0.001607,0.001607,0.000000,0.000000,0.000000,0.001607,0.001607,0.000000,0.000000,0.000000
1538673530.700000,0.002031,0.002031,0.000000,0.000000,0.000000,0.001667,0.001667,0.000000,0.000000,0.000000
1538673530.750000,0.001909,0.001909,0.000000,0.000000,0.000000,0.002320,0.002320,0.000000,0.000000,0.000000
1538673530.800000,0.001647,0.001647,0.000000,0.000000,0.000000,0.001625,0.001625,0.000000,0.000000,0.000000
1538673530.850000,0.001867,0.001867,0.000000,0.000000,0.000000,0.001875,0.001875,0.000000,0.000000,0.000000
1538673530.900000,0.001286,0.001286,0.000000,0.000000,0.000000,0.001286,0.001286,0.000000,0.000000,0.000000
1538673530.950000,0.002000,0.002000,0.000000,0.000000,0.000000,0.001667,0.001667,0.000000,0.000000,0.000000
1538673531.000000,0.002059,0.002059,0.000000,0.000000,0.000000,0.002389,0.002389,0.000000,0.000000,0.000000
1538673531.050000,0.002150,0.002150,0.000000,0.000000,0.000000,0.002150,0.002150,0.000000,0.000000,0.000000
1538673531.100000,0.001313,0.001313,0.000000,0.000000,0.000000,0.001375,0.001375,0.000000,0.000000,0.000000
1538673531.150000,0.003107,0.003107,0.000000,0.000000,0.000000,0.003071,0.003071,0.000000,0.000000,0.000000
1538673531.200000,0.001857,0.001857,0.000000,0.000000,0.000000,0.001929,0.001929,0.000000,0.000000,0.000000
1538673531.250000,0.001474,0.001474,0.000000,0.000000,0.000000,0.001450,0.001450,0.000000,0.000000,0.000000
1538673531.300000,0.001915,0.001915,0.000000,0.000000,0.000000,0.001935,0.001935,0.000000,0.000000,0.000000
1538673531.350000,0.001300,0.001300,0.000000,0.000000,0.000000,0.001273,0.001273,0.000000,0.000000,0.000000
1538673531.400000,0.002375,0.002375,0.000000,0.000000,0.000000,0.002467,0.002467,0.000000,0.000000,0.000000
1538673531.450000,0.001176,0.001176,0.000000,0.000000,0.000000,0.001167,0.001167,0.000000,0.000000,0.000000
1538673531.500000,0.001206,0.001206,0.000000,0.000000,0.000000,0.001206,0.001206,0.000000,0.000000,0.000000
1538673531.550000,0.002000,0.002000,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673531.600000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673531.650000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673531.700000,0.001500,0.001500,0.000000,0.000000,0.000000,0.001542,0.001542,0.000000,0.000000,0.000000
1538673531.750000,0.001400,0.001400,0.000000,0.000000,0.000000,0.001390,0.001390,0.000000,0.000000,0.000000
1538673531.800000,0.001182,0.001182,0.000000,0.000000,0.000000,0.001174,0.001174,0.000000,0.000000,0.000000
1538673531.850000,0.001263,0.001263,0.000000,0.000000,0.000000,0.001278,0.001278,0.000000,0.000000,0.000000
1538673531.900000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673531.950000,0.001143,0.001143,0.000000,0.000000,0.000000,0.001143,0.001143,0.000000,0.000000,0.000000
1538673532.000000,0.002245,0.002245,0.000000,0.000000,0.000000,0.002227,0.002227,0.000000,0.000000,0.000000
1538673532.050000,0.001524,0.001524,0.000000,0.000000,0.000000,0.001692,0.001692,0.000000,0.000000,0.000000
1538673532.100000,0.001042,0.001042,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673532.150000,0.001083,0.001083,0.000000,0.000000,0.000000,0.001143,0.001143,0.000000,0.000000,0.000000
1538673532.200000,0.000850,0.000850,0.000000,0.000000,0.000000,0.000842,0.000842,0.000000,0.000000,0.000000
1538673532.250000,0.001500,0.001500,0.000000,0.000000,0.000000,0.001474,0.001474,0.000000,0.000000,0.000000
1538673532.300000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673532.350000,0.001143,0.001143,0.000000,0.000000,0.000000,0.001130,0.001130,0.000000,0.000000,0.000000
1538673532.400000,0.001118,0.001118,0.000000,0.000000,0.000000,0.001125,0.001125,0.000000,0.000000,0.000000
1538673532.450000,0.001053,0.001053,0.000000,0.000000,0.000000,0.001053,0.001053,0.000000,0.000000,0.000000
1538673532.500000,0.001276,0.001276,0.000000,0.000000,0.000000,0.001267,0.001267,0.000000,0.000000,0.000000
1538673532.550000,0.001696,0.001696,0.000000,0.000000,0.000000,0.001381,0.001381,0.000000,0.000000,0.000000
1538673532.600000,0.001368,0.001368,0.000000,0.000000,0.000000,0.001714,0.001714,0.000000,0.000000,0.000000
1538673532.650000,0.002109,0.002109,0.000000,0.000000,0.000000,0.002093,0.002093,0.000000,0.000000,0.000000
1538673532.700000,0.001714,0.001714,0.000000,0.000000,0.000000,0.001800,0.001800,0.000000,0.000000,0.000000
1538673532.750000,0.001385,0.001385,0.000000,0.000000,0.000000,0.001400,0.001400,0.000000,0.000000,0.000000
1538673532.800000,0.001219,0.001219,0.000000,0.000000,0.000000,0.001212,0.001212,0.000000,0.000000,0.000000
1538673532.850000,0.001556,0.001556,0.000000,0.000000,0.000000,0.001625,0.001625,0.000000,0.000000,0.000000
1538673532.900000,0.001657,0.001657,0.000000,0.000000,0.000000,0.001639,0.001639,0.000000,0.000000,0.000000
1538673532.950000,0.002182,0.002182,0.000000,0.000000,0.000000,0.002182,0.002182,0.000000,0.000000,0.000000
1538673533.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673533.050000,0.001633,0.001633,0.000000,0.000000,0.000000,0.001655,0.001655,0.000000,0.000000,0.000000
1538673533.100000,0.001179,0.001179,0.000000,0.000000,0.000000,0.001179,0.001179,0.000000,0.000000,0.000000
1538673533.150000,0.001710,0.001710,0.000000,0.000000,0.000000,0.001687,0.001687,0.000000,0.000000,0.000000
1538673533.200000,0.001105,0.001105,0.000000,0.000000,0.000000,0.001105,0.001105,0.000000,0.000000,0.000000
1538673533.250000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673533.300000,0.001593,0.001593,0.000000,0.000000,0.000000,0.001423,0.001423,0.000000,0.000000,0.000000
1538673533.350000,0.001667,0.001667,0.000000,0.000000,0.000000,0.001735,0.001735,0.000000,0.000000,0.000000
1538673533.400000,0.001600,0.001600,0.000000,0.000000,0.000000,0.001687,0.001687,0.000000,0.000000,0.000000
1538673533.450000,0.001154,0.001154,0.000000,0.000000,0.000000,0.001154,0.001154,0.000000,0.000000,0.000000
1538673533.500000,0.001533,0.001533,0.000000,0.000000,0.000000,0.001533,0.001533,0.000000,0.000000,0.000000
1538673533.550000,0.001333,0.001333,0.000000,0.000000,0.000000,0.001143,0.001143,0.000000,0.000000,0.000000
1538673533.600000,0.001278,0.001278,0.000000,0.000000,0.000000,0.001350,0.001350,0.000000,0.000000,0.000000
1538673533.650000,0.001815,0.001815,0.000000,0.000000,0.000000,0.001792,0.001792,0.000000,0.000000,0.000000
1538673533.700000,0.001171,0.001171,0.000000,0.000000,0.000000,0.001243,0.001243,0.000000,0.000000,0.000000
1538673533.750000,0.002833,0.002833,0.000000,0.000000,0.000000,0.002760,0.002760,0.000000,0.000000,0.000000
1538673533.800000,0.001600,0.001600,0.000000,0.000000,0.000000,0.001556,0.001556,0.000000,0.000000,0.000000
1538673533.850000,0.001353,0.001353,0.000000,0.000000,0.000000,0.001421,0.001421,0.000000,0.000000,0.000000
1538673533.900000,0.001143,0.001143,0.000000,0.000000,0.000000,0.001143,0.001143,0.000000,0.000000,0.000000
1538673533.950000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673534.000000,0.001176,0.001176,0.000000,0.000000,0.000000,0.001176,0.001176,0.000000,0.000000,0.000000
1538673534.050000,0.001077,0.001077,0.000000,0.000000,0.000000,0.001077,0.001077,0.000000,0.000000,0.000000
1538673534.100000,0.002086,0.002086,0.000000,0.000000,0.000000,0.002063,0.002063,0.000000,0.000000,0.000000
1538673534.150000,0.001130,0.001130,0.000000,0.000000,0.000000,0.001269,0.001269,0.000000,0.000000,0.000000
1538673534.200000,0.001364,0.001364,0.000000,0.000000,0.000000,0.001364,0.001364,0.000000,0.000000,0.000000
